obj_label,relation,relation_name,sub_label,uuid
Bern,P937,worked-in,Albert Einstein,e4f33b6d-6cda-4a73-9bd3-5668f884fe0d
Berlin,P937,worked-in,Albert Einstein,dd080e5d-6e84-46a9-8e2d-33edc11cf03f
Berlin,P937,worked-in,Carl Philipp Emanuel Bach,e63ed2f9-ab68-43e9-a0b8-2a2ab1616c37
Hamburg,P937,worked-in,Carl Philipp Emanuel Bach,841751bd-aefc-4e79-a3c5-b90c94336a05
Vienna,P937,worked-in,Christoph Willibald von Gluck,c2ffb80f-b0a7-4c8a-975d-5d054232b027
Paris,P937,worked-in,Christoph Willibald von Gluck,b41d182f-66ee-4064-bbcc-cfa35acc7041
Dresden,P937,worked-in,Fritz Reiner,ad925cb3-b330-4e03-88f7-adb89c986090
Pittsburgh,P937,worked-in,Fritz Reiner,8839f9e7-6b0d-438f-be0c-4d3c6f872b75
Cincinnati,P937,worked-in,Fritz Reiner,7dfd6ac3-b1df-47d6-8b7e-ca163dd62b0b
Birmingham,P937,worked-in,John Henry Newman,d781ab03-26e0-48f2-8a69-7830ada65e25
Rome,P937,worked-in,John Henry Newman,08c206e2-50aa-4a60-a5dd-75d6fa28bc20
Hamburg,P937,worked-in,Jonathan Meese,735ee14b-272a-46be-9eb7-083fc2fa5dd8
Berlin,P937,worked-in,Jonathan Meese,2c74677c-7a25-4ddf-9280-c538b25c7aab
Rome,P937,worked-in,Paulus Manutius,855118d5-6c82-46bb-85cb-941fcb42fc76
Venice,P937,worked-in,Paulus Manutius,9052b749-d4c9-4a33-bf18-a48b95d282b4
Warsaw,P937,worked-in,Rosa Luxemburg,4d3bb583-c759-4818-8c88-bc0c8a85d55b
Berlin,P937,worked-in,Rosa Luxemburg,fd483a9c-b748-4f26-8363-5385bce85883
Paris,P937,worked-in,Vincent van Gogh,0ae8b1e6-89cb-43be-aba7-928e794ba4d0
Amsterdam,P937,worked-in,Vincent van Gogh,70284a9b-10f7-441f-9756-c66471e8b161
Moscow,P937,worked-in,Vladimir Putin,7b36fa2a-f766-464f-bf74-ea1151c73dea
Dresden,P937,worked-in,Vladimir Putin,dc81939b-f548-4396-ad30-6e42ff0e4907
English,P1412,communicated-in,L. L. Zamenhof,0ed73252-79bb-4c4d-84a1-33104c146609
Russian,P1412,communicated-in,L. L. Zamenhof,05035008-fa00-4e25-a4f4-daaa429be75b
Finnish,P103,native-language,Skolts,664574ff-6fcc-4e22-b4dc-c2bdcdd38436
Russian,P103,native-language,Skolts,f8d7bfcb-5be6-48c6-b58a-856fdb69ca46
India,P276,located-in,Ajanta Caves,e78966ff-664a-458b-8197-6adbd32c36d4
Maharashtra,P276,located-in,Ajanta Caves,1f70852d-c3f8-421b-a5ed-a0665fd267c4
London,P276,located-in,Arcapita,61496c47-7996-4afe-8d54-a5b6bedddc1e
Bahrain,P276,located-in,Arcapita,63f9514c-a6ff-4dcb-8962-2bb88e032f36
Atlanta,P276,located-in,Arcapita,e6a3284e-4352-4726-97e2-33b382fb28ef
Singapore,P276,located-in,Arcapita,96744942-aa2e-403a-8ea8-947255c2b438
France,P276,located-in,Battle of France,e902e841-dc38-42a7-8902-5468b88efa1a
Luxembourg,P276,located-in,Battle of France,4273b7b3-7fe3-4ab6-8b4f-6a51d2a126af
Belgium,P276,located-in,Battle of France,14db3563-9496-435f-bd2e-316d2a47cf7a
Netherlands,P276,located-in,Battle of France,3f71694d-9b55-4565-9ab3-d2b212cb36d4
Copenhagen,P276,located-in,COBRA,82545ff5-4111-412c-8a4c-94f8f0c0a270
Amsterdam,P276,located-in,COBRA,de6a719e-1dcd-4024-bc8e-5018bebcc915
India,P276,located-in,Champaner-Pavagadh Archaeological Park,16f489ac-57e9-4b27-9ebc-1a72f297aa5a
Gujarat,P276,located-in,Champaner-Pavagadh Archaeological Park,d0d3d5fe-8801-4d49-b66b-7659ec4cbd8e
Berlin,P276,located-in,Chaos Communication Congress,830ab27a-6510-4e2d-bb92-5742126483f5
Hamburg,P276,located-in,Chaos Communication Congress,824e4ab0-9384-438d-b0e7-fbd19818d3ae
California,P276,located-in,Colorado River Indian Tribes,fbdc7304-d137-4680-96e0-3ab8b2d1695d
Arizona,P276,located-in,Colorado River Indian Tribes,8fed213d-44f0-44a0-8a65-04fb8539f0d8
Delhi,P276,located-in,Delhi Technological University,14afbeb7-acde-48c7-a1d0-5ace88e9564f
India,P276,located-in,Delhi Technological University,e2274b14-cbfd-4703-9c90-39aeb5858cbf
Arizona,P276,located-in,Family Life Radio,e592e3c2-f56c-47b1-9629-9fa8cbad8ee2
Wisconsin,P276,located-in,Family Life Radio,22353f69-08d6-461e-8d15-d0564d370dc5
Michigan,P276,located-in,Family Life Radio,39634842-650a-46db-beea-349bf8cd3a66
Texas,P276,located-in,Family Life Radio,4735e993-24ef-42d5-adda-9dfdf559d9e6
Greece,P276,located-in,Greco-Italian War,d9d51f4c-19e2-44ea-895b-4fb9870811f2
Albania,P276,located-in,Greco-Italian War,f33fa403-ce2c-4919-81e4-75684832cb4b
Israel,P276,located-in,Gulf War,c776af44-646a-4ed1-b0d1-c6266b95c1fa
Iraq,P276,located-in,Gulf War,edc0b1e2-17a0-4e9e-b87e-081293c9c718
Kuwait,P276,located-in,Gulf War,1b800646-a4a7-417b-ba4e-4f74576a3863
California,P276,located-in,Halchidhoma,bd2e5b6e-9098-46a0-8096-74f06d72f417
Arizona,P276,located-in,Halchidhoma,c2d3c862-673f-4cde-84ff-6be64e0ec463
Latvia,P276,located-in,Livonian Crusade,151c8cca-c92c-467c-bcc4-661f01e23878
Estonia,P276,located-in,Livonian Crusade,7272ddc3-3b5d-4f8a-9579-c262760bed1a
Iraq,P276,located-in,Mandaeism,9793435f-13fe-41ae-b286-d5ee5d07c7df
Iran,P276,located-in,Mandaeism,87cff7b1-9c6b-4a49-a217-593c0502c7a9
Armenia,P276,located-in,Nagorno-Karabakh War,3de04e3c-0cfd-49cb-9627-c83f4c1190f8
Azerbaijan,P276,located-in,Nagorno-Karabakh War,6afca366-858d-42b1-bb77-b3a71cc052ad
Estonia,P276,located-in,Operation Barbarossa,2463fa9e-5e55-49d4-9eaa-036f7a4e4242
Lithuania,P276,located-in,Operation Barbarossa,f8d9faa2-b8e8-4638-8547-5a7e1f2c6dcc
Ukraine,P276,located-in,Operation Barbarossa,5821a58c-d602-47bf-85b8-dd9c4beda928
Belarus,P276,located-in,Operation Barbarossa,a0133af6-5f91-4f04-aedc-69ea62c35160
Seattle,P276,located-in,PAX,aa1137d0-c451-4bd9-928b-9114e76b352d
Boston,P276,located-in,PAX,b5645aa8-86ea-40ac-84b6-4d2233f4f61b
Melbourne,P276,located-in,PAX,0ae96c10-69c7-4551-9838-46d9594d06a3
Ghana,P276,located-in,Palm wine,e2fba636-c8e8-43ae-9ed3-5cbe0a0f47c9
Mexico,P276,located-in,Palm wine,a5c9b6de-04cc-4a69-aa64-f27833cd3cd7
Belarus,P276,located-in,Post-Soviet states,a66ff7ad-2485-42bb-aad9-942b0b0d588e
Ukraine,P276,located-in,Post-Soviet states,08dfd8e9-73d6-466d-9b2c-e0db600d9d6a
Russia,P276,located-in,Post-Soviet states,f7014972-3d3a-449c-918e-52cab23e485f
Kazakhstan,P276,located-in,Post-Soviet states,8e8bbd01-a870-4568-9f4a-5277efad7b79
Mongolia,P276,located-in,Russian Civil War,1771ecf2-b570-4e08-93f3-dee6169ced4a
Iran,P276,located-in,Russian Civil War,b965f827-e2ea-41f0-8e72-3eaed48f511b
Egypt,P276,located-in,Second Crusade,1cb868bb-01a9-4433-8070-f92a1ae9f3c2
Levant,P276,located-in,Second Crusade,6b78fe39-8505-4d82-8e47-a7689a793e19
Levant,P276,located-in,Sinai and Palestine Campaign,3722b9e3-48a9-4aa3-aff5-59fd00359698
